ModelID,Model_Mobitela,Opis,Veličina_baterije,Procesor,Kamera,Cijena
"1,Mobitel Xiaomi Redmi A1,Sjajni Redmi A1 ima poleđinu obrađenu teksture kožu koja daje elegantan izgled i glatki dodir bez mrlja i otisaka. Dolazi s velikim HD+ zaslonom koji podržava 120Hz brzinu uzorkovanja dodira te omogućuje odličnu zabavu.
,ma veliku 5000mAh bateriju koja dolazi s 10W punjačem i OTG podrškom. Baterija može izdržati i do 30 sati gledanja videa,Ima učinkoviti i snažan Meditek Helio A22 procesor zajedno s LPDDR4X RAM-om velike brzine što omogućuje multitasking,Sadrži 8MP stražnju kameru s 2MP senzorom dubine te 5MP prednju kameru, 130€"
2,Mobitel Motorola G42 6GB/128GB,Slušajte svoju omiljenu zabavu na dvostrukim stereo zvučnicima (ili slušalicama) kako biste čuli poboljšani bas_čišće vokale i više jasnoće pri većoj glasnoći_a sve to dok doživljavate višedimenzionalni zvuk Dolby Atmos® Audio,S ultraširokim OLED zaslonom od 6,4 inča i dizajnom gotovo bez obruba_vaš vam telefon donosi širok_kristalno jasan prikaz.,Kapacitet baterije:5000mAh,Gdje god bili, uživajte u glatkijem igranju i streamingu_zajedno s naprednim mogućnostima kamere_s povećanjem performansi preko 20% bržeg Snapdragon® 680 procesora.,Stražnja kamera 50MP, 180€
3,Mobitel Samsung Galaxy A23 5G,Na mobilnoj podatkovnoj mreži sljedeće generacije snaga velikih 5G brzina promijenit će način na koji doživljavate i dijelite sadržaj – od osobito uglađenog igranja i prijenosa do izvanredno brzog dijeljenja i preuzimanja.,Baterija kapaciteta 5000 mAh (uobičajeno)¹ omogućuje Vam da nastavite s radom satima.,Galaxy A23 5G kombinira snagu mobilne platforme Snapdragon® s do 4 GB /6 GB /8 GB RAM-a za brzo i djelotvorno obavljanje zadataka.,Kamera telefona Galaxy A23 5G s višestrukim objektivima podiže Vaše fotografije na višu razinu. Za oštrije, jasnije snimke uz OIS kameru od 50 MP proširite svoj kut gledanja uz ultraširokokutnu kameru, prilagodite fokus uz dubinsku kameru i približite se pojedinostima uz makrokameru.,310€
"4,Mobitel Asus Zenfone 9,DISPLAY Type Super AMOLED, 120Hz, HDR10+,BATTERY Type Li-Po 4300 mAh_non-removable,CPU Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),MAIN CAMERA Dual 50 MP, f/1.8, 26mm (wide), 1/1.56"", 1.0µm, PDAF, OIS,800€"
5,Mobitel Samsung Galaxy S22 5G,8GB/128GB dual SIM fantomsko crni SM-S901B,Život ne usporava, a pauza za punjenje je brzi put do toga da propustite nešto. Baterija se inteligentno prilagođava načinu na koji koristite svoj telefon_tako da traje duže od 24 sata.,Bez obzira vlogate li o tome kakav Vam je bio dan, igrate li igre cijelu noć ili jednostavno gledate što ima u Vašim novostima, 4 nm procesor omogućuje nevjerojatno glatko iskustvo.,50MP,850€
